Sample,Type,Stage,Site,Site_name,N_T_dead,N_E_dead,N_T_alive,N_E_alive
Astfood_1,Main,Stage_2,Site 1,Kurichek,19,11,31,51
Astfood_2,Main,Stage_1,Site 1,Kurichek,8,11,61,143
Astfood_3,Main,Stage_2,Site 1,Kurichek,7,6,10,42
Astfood_4,Main,Stage_1,Site 1,Kurichek,2,1,18,51
Astfood_5,Main,Stage_2,Site 1,Kurichek,17,30,25,116
Astfood_6,Main,Stage_1,Site 1,Kurichek,10,9,55,97
Astfood_7,Main,Stage_2,Site 1,Kurichek,9,2,44,25
Astfood_8,Main,Stage_1,Site 1,Kurichek,4,3,90,110
Astfood_9,Main,Stage_2,Site 1,Kurichek,16,11,49,111
Astfood_10,Main,Stage_1,Site 1,Kurichek,9,12,29,79
Astfood_11,Main,Stage_2,Site 1,Kurichek,9,9,31,61
Astfood_12,Main,Stage_1,Site 1,Kurichek,3,6,19,50
Astfood_13,Main,Stage_2,Site 1,Kurichek,17,13,20,85
Astfood_14,Main,Stage_1,Site 1,Kurichek,0,4,27,64
Astfood_15,Main,Stage_2,Site 1,Kurichek,4,7,1,6
Astfood_16,Main,Stage_1,Site 1,Kurichek,4,8,15,45
Astfood_17,Main,Stage_2,Site 1,Kurichek,6,5,5,16
Astfood_18,Main,Stage_1,Site 1,Kurichek,1,3,15,20
Astfood_19,Main,Stage_2,Site 1,Kurichek,7,13,18,61
Astfood_20,Main,Stage_1,Site 1,Kurichek,5,14,23,62
Astfood_21,Main,Stage_2,Site 2,Luvenga_1,3,7,2,16
Astfood_22,Main,Stage_1,Site 2,Luvenga_1,2,0,52,35
Astfood_23,Main,Stage_2,Site 2,Luvenga_1,11,9,16,17
Astfood_24,Main,Stage_1,Site 2,Luvenga_1,0,0,57,32
Astfood_25,Main,Stage_2,Site 2,Luvenga_1,3,2,4,9
Astfood_26,Main,Stage_1,Site 2,Luvenga_1,4,0,88,28
Astfood_27,Main,Stage_2,Site 2,Luvenga_1,26,4,26,9
Astfood_28,Main,Stage_1,Site 2,Luvenga_1,4,0,86,45
Astfood_29,Main,Stage_2,Site 2,Luvenga_1,30,11,46,47
Astfood_30,Main,Stage_1,Site 2,Luvenga_1,6,0,39,32
Astfood_31,Main,Stage_2,Site 2,Luvenga_2,35,14,14,10
Astfood_32,Main,Stage_1,Site 2,Luvenga_2,0,0,49,28
Astfood_33,Main,Stage_2,Site 2,Luvenga_2,20,25,12,22
Astfood_34,Main,Stage_1,Site 2,Luvenga_2,4,0,128,47
Astfood_35,Main,Stage_2,Site 2,Luvenga_2,7,4,32,27
Astfood_36,Main,Stage_1,Site 2,Luvenga_2,0,0,65,36
Astfood_37,Main,Stage_2,Site 2,Luvenga_2,37,2,37,14
Astfood_38,Main,Stage_1,Site 2,Luvenga_2,2,2,110,54
Astfood_39,Main,Stage_2,Site 2,Luvenga_2,28,6,29,14
Astfood_40,Main,Stage_1,Site 2,Luvenga_2,4,0,72,26
Astfood_Z_1,Z,Stage_3,Site 1,Kurichek,87,45,66,100
Astfood_Z_2,Z,Stage_3,Site 1,Kurichek,25,65,15,74
Astfood_Z_3,Z,Stage_3,Site 1,Kurichek,42,70,22,62
Astfood_Z_4,Z,Stage_3,Site 1,Kurichek,24,60,8,36
Astfood_Z_5,Z,Stage_3,Site 1,Kurichek,69,82,37,94
Astfood_Z_6,Z,Stage_3,Site 1,Kurichek,46,54,26,67
Astfood_Z_7,Z,Stage_3,Site 1,Kurichek,98,114,26,140
Astfood_Z_8,Z,Stage_3,Site 1,Kurichek,83,121,38,78
Astfood_Z_9,Z,Stage_3,Site 1,Kurichek,64,123,12,107
Astfood_Z_10,Z,Stage_3,Site 1,Kurichek,51,104,8,55
Astfood_Z_11,Z,Stage_3,Site 2,Luvenga_1,3,1,28,120
Astfood_Z_12,Z,Stage_3,Site 2,Luvenga_1,23,18,35,131
Astfood_Z_13,Z,Stage_3,Site 2,Luvenga_1,8,8,40,81
Astfood_Z_14,Z,Stage_3,Site 2,Luvenga_1,27,20,49,87
Astfood_Z_16,Z,Stage_3,Site 2,Luvenga_2,6,5,41,137
Astfood_Z_17,Z,Stage_3,Site 2,Luvenga_2,37,0,7,23
Astfood_Z_18,Z,Stage_3,Site 2,Luvenga_2,23,81,4,33
Astfood_Z_19,Z,Stage_3,Site 2,Luvenga_2,17,58,7,51
Astfood_Z_20,Z,Stage_3,Site 2,Luvenga_2,23,5,6,4
Astfood_Z_21,Z,Stage_3,Site 2,Luvenga_2,72,83,41,106
