Date,Year,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
15/06/19,2019,2,2,3,3,0,5,10,8,16,1,7,0
16/06/19,2019,4,17,16,8,8,15,10,8,10,1,2,30
18/06/19,2019,8,109,21,0,0,0,52,0,4,7,56,2
18/06/19,2019,11,35,5,0,0,21,3,1,10,0,25,0
14/06/18,2018,3,39,1,13,2,24,24,31,0,2,35,11
15/06/18,2018,5,13,0,0,2,0,52,0,0,0,0,0
16/06/18,2018,49,0,1,3,11,50,10,6,6,3,18,39
18/06/18,2018,0,0,18,11,1,22,5,17,2,8,6,0
20/06/18,2018,2,20,6,0,18,36,5,37,32,9,6,2
15/06/17,2017,30,3,0,0,0,4,0,2,0,0,0,0
17/06/17,2017,15,56,12,10,3,0,1,197,5,5,17,2
19/06/17,2017,0,14,0,56,3,0,28,0,179,0,6,8
21/06/17,2017,8,7,20,2,1,0,6,1,0,0,23,25
23/06/17,2017,22,13,3,0,0,0,1,2,0,0,0,8
25/06/17,2017,3,27,18,0,2,41,0,0,3,3,0,28
26/07/17,2017,15,15,6,0,0,22,0,0,0,0,5,0
9/08/17,2017,0,3,0,1,0,0,3,5,0,1,0,0
11/08/17,2017,0,4,0,0,2,10,0,0,12,0,6,0
14/08/17,2017,0,0,3,0,0,2,0,0,0,0,0,0
16/08/17,2017,0,0,0,0,1,1,0,0,0,0,0,0
18/08/17,2017,0,1,3,2,5,11,0,0,4,2,0,0
16/06/16,2016,0,23,1,0,3,21,1,0,2,13,1,4
18/06/16,2016,1,7,10,0,1,5,0,0,0,0,4,2
20/06/17,2016,0,4,0,0,39,15,34,5,0,0,0,1
22/06/16,2016,38,1,1,5,0,35,45,0,2,0,10,1
23/06/16,2016,3,5,0,0,0,12,0,0,6,4,4,0
25/06/16,2016,0,9,1,0,2,0,0,0,0,0,0,0
27/06/16,2016,30,0,0,4,7,4,12,0,30,0,9,1
NA,Median,3.0 ,7.0 ,2.0 ,0.0 ,1.5 ,7.5 ,3.0 ,0.0 ,2.0 ,0.0 ,4.5 ,1.0 
